subtree_order,source_count,competitor_count,source_probability,competitor_probability
1,17,17,17/3821,17/3249
2,16,16,16/3821,16/3249
3,30,31,30/3821,31/3249
4,47,47,47/3821,47/3249
5,86,76,86/3821,4/171
6,162,133,162/3821,7/171
7,274,218,274/3821,218/3249
8,403,309,403/3821,103/1083
9,517,389,517/3821,389/3249
10,590,464,590/3821,464/3249
11,597,513,597/3821,3/19
12,509,473,509/3821,473/3249
13,340,331,340/3821,331/3249
14,166,165,166/3821,55/1083
15,55,55,55/3821,55/3249
16,11,11,11/3821,11/3249
17,1,1,1/3821,1/3249
