n,trees,caterpillar,maximum_mean,maximum_noncaterpillar_mean,extremal_gap,minimum_constructive_gain,median_constructive_gain,maximizer_count
4,2,2,23/11,,,,,1
5,3,3,13/5,,,,,1
6,6,6,117/37,,,,,1
7,11,10,131/35,10/3,43/105,1/6,1/6,1
8,23,20,583/135,4,43/135,11/81,223/1349,1
9,47,36,779/159,554/119,4615/18921,128/1309,685/3871,1
10,106,72,205/37,959/180,1417/6660,1473/22724,66027/379192,1
11,235,136,2025/329,404/67,2759/22043,5323/130830,32/197,1
12,551,272,4236/619,3313/493,37601/305167,25189/1022870,7879/49104,1
13,1301,528,2513/335,943/127,3246/42545,9790/673379,378/2279,1
14,3159,1056,10243/1247,3958/489,73201/609783,135347/16051056,10992/65405,1
15,7741,2080,2383/267,326/37,1129/9879,154361/31984264,67759/410763,1
16,19320,4160,23713/2453,4559/478,151587/1172534,232699/85123686,106129077964/654398964417,1
17,48629,8256,26596/2555,30421/2961,146443/1080765,783352/510207147,41085/254944,1
