subtree_order,source_count,competitor_count,source_probability,competitor_probability
1,19,19,19/5943,19/5218
2,18,18,6/1981,9/2609
3,36,35,12/1981,35/5218
4,49,60,7/849,30/2609
5,63,93,3/283,93/5218
6,90,120,30/1981,60/2609
7,154,135,22/849,135/5218
8,282,156,94/1981,78/2609
9,447,223,149/1981,223/5218
10,598,374,598/5943,187/2609
11,747,609,249/1981,609/5218
12,900,848,300/1981,424/2609
13,951,940,317/1981,470/2609
14,795,794,265/1981,397/2609
15,495,495,165/1981,495/5218
16,220,220,220/5943,110/2609
17,66,66,22/1981,33/2609
18,12,12,4/1981,6/2609
19,1,1,1/5943,1/5218
