n,input_graph6,output_graph6,case,move,N_old,R_old,N_new,R_new,cross_score,mean_gain
7,FkE?G,FsE?G,leaf_degree_two,pendant_path_fold,36,120,44,154,264,1/6
8,Gh_K?C,Gi_K?C,leaf_degree_two,pendant_path_fold,48,180,57,225,540,15/76
8,Gi_K?C,GiaC?C,leaf_degree_two,pendant_path_fold,57,225,71,292,669,223/1349
8,GkE?K?,GsE?K?,leaf_degree_two,pendant_path_fold,64,256,81,335,704,11/81
9,HhI?K?@,HhICC?@,leaf_degree_two,pendant_path_fold,71,310,88,401,1191,1191/6248
9,HhOK?C@,HiOK?C@,leaf_degree_two,pendant_path_fold,61,253,75,326,911,911/4575
9,HhQ?K?@,HiQ?K?@,leaf_degree_two,pendant_path_fold,79,352,98,454,1370,685/3871
9,Hh_GK?@,Hi_GK?@,leaf_degree_two,pendant_path_fold,63,264,75,330,990,22/105
9,Hh_GS?@,Hi_GS?@,leaf_degree_two,pendant_path_fold,75,330,90,414,1350,1/5
9,Hh_K?E?,Hi_K?E?,leaf_degree_two,pendant_path_fold,85,379,103,478,1593,1593/8755
9,HiQ?K?@,HiQCC?@,leaf_degree_two,pendant_path_fold,98,454,124,593,1818,909/6076
9,Hi_GS?@,Hi_GSA?,leaf_degree_two,pendant_path_fold,90,414,114,542,1584,44/285
9,Hi_K?E?,HiaC?E?,leaf_degree_two,pendant_path_fold,103,478,132,629,1691,1691/13596
9,HkE?K?@,HsE?K?@,leaf_degree_two,pendant_path_fold,93,421,119,554,1423,1423/11067
9,HkE?KA?,HsE?KA?,leaf_degree_two,pendant_path_fold,119,554,154,732,1792,128/1309
10,IhE?GCC?G,IhI?GCC?G,leaf_degree_two,pendant_path_fold,75,340,86,410,1510,151/645
10,IhE?GE??G,IhI?GE??G,leaf_degree_two,pendant_path_fold,79,364,92,445,1667,1667/7268
10,IhH?K?@?G,IhHAC?@?G,leaf_degree_two,pendant_path_fold,94,454,118,592,2076,519/2773
10,IhI?GCC?G,IhI?GGC?G,leaf_degree_two,pendant_path_fold,86,410,106,528,1948,487/2279
10,IhI?GE??G,IhI?GI??G,leaf_degree_two,pendant_path_fold,92,445,110,556,2202,1101/5060
10,IhI?GI??G,IhI?GI?_?,leaf_degree_two,pendant_path_fold,110,556,139,727,2686,1343/7645
10,IhI?K?@_?,IhICC?@_?,leaf_degree_two,pendant_path_fold,126,644,161,846,2912,208/1449
10,IhOIC?@?G,IiOIC?@?G,leaf_degree_two,pendant_path_fold,107,524,136,687,2245,2245/14552
10,IhOK?C@?_,IiOK?C@?_,leaf_degree_two,pendant_path_fold,95,464,118,600,2248,1124/5605
10,IhOK?C@_?,IiOK?C@_?,leaf_degree_two,pendant_path_fold,102,502,128,653,2350,1175/6528
10,IhOK?CA?_,IiOK?CA?_,leaf_degree_two,pendant_path_fold,116,591,145,766,3161,109/580
10,IhOK?CA_?,IiOK?CA_?,leaf_degree_two,pendant_path_fold,122,626,154,816,3148,787/4697
10,IhOK?E??G,IiOK?E??G,leaf_degree_two,pendant_path_fold,111,556,140,725,2635,527/3108
10,IhPC?E??G,IiPC?E??G,leaf_degree_two,pendant_path_fold,140,725,179,951,3365,673/5012
10,IhQ?GE??G,IiQ?GE??G,leaf_degree_two,pendant_path_fold,103,508,128,655,2441,2441/13184
10,IhQ?GI??G,IiQ?GI??G,leaf_degree_two,pendant_path_fold,124,637,155,823,3317,107/620
10,IhQ?K?@_?,IiQ?K?@_?,leaf_degree_two,pendant_path_fold,143,740,180,959,3937,3937/25740
10,Ih_GK?@?G,Ii_GK?@?G,leaf_degree_two,pendant_path_fold,82,382,98,478,1760,440/2009
10,Ih_GK?@?O,Ii_GK?@?O,leaf_degree_two,pendant_path_fold,98,478,118,600,2396,599/2891
10,Ih_GK?@_?,Ii_GK?@_?,leaf_degree_two,pendant_path_fold,112,553,136,697,2856,3/16
